ind,group,continent,country,state,year,Pop,admix
Pd_22,group1,N_America,Canada,New Brunswick,2013,pop04,9.99500116449781e-05
Pd_22,group1,N_America,Canada,New Brunswick,2013,pop05,9.99500116449781e-05
Pd_22,group1,N_America,Canada,New Brunswick,2013,pop06,9.99500116449781e-05
Pd_22,group1,N_America,Canada,New Brunswick,2013,pop07,9.99500116449781e-05
Pd_23,group1,N_America,USA,New York,2008,pop01,0.999400198459625
Pd_23,group1,N_America,USA,New York,2008,pop02,9.99500116449781e-05
Pd_23,group1,N_America,USA,New York,2008,pop03,9.99500116449781e-05
Pd_23,group1,N_America,USA,New York,2008,pop04,9.99500116449781e-05
Pd_23,group1,N_America,USA,New York,2008,pop05,9.99500116449781e-05
Pd_23,group1,N_America,USA,New York,2008,pop06,9.99500116449781e-05
Pd_23,group1,N_America,USA,New York,2008,pop07,9.99500116449781e-05
Pd_24,group1,N_America,Canada,New Brunswick,2012,pop01,0.999400198459625
Pd_24,group1,N_America,Canada,New Brunswick,2012,pop02,9.99500116449781e-05
Pd_24,group1,N_America,Canada,New Brunswick,2012,pop03,9.99500116449781e-05
Pd_24,group1,N_America,Canada,New Brunswick,2012,pop04,9.99500116449781e-05
Pd_24,group1,N_America,Canada,New Brunswick,2012,pop05,9.99500116449781e-05
Pd_24,group1,N_America,Canada,New Brunswick,2012,pop06,9.99500116449781e-05
Pd_24,group1,N_America,Canada,New Brunswick,2012,pop07,9.99500116449781e-05
Pd_26,group1,N_America,Canada,New Brunswick,2012,pop01,0.999400198459625
Pd_26,group1,N_America,Canada,New Brunswick,2012,pop02,9.99500116449781e-05
Pd_26,group1,N_America,Canada,New Brunswick,2012,pop03,9.99500116449781e-05
Pd_26,group1,N_America,Canada,New Brunswick,2012,pop04,9.99500116449781e-05
Pd_26,group1,N_America,Canada,New Brunswick,2012,pop05,9.99500116449781e-05
Pd_26,group1,N_America,Canada,New Brunswick,2012,pop06,9.99500116449781e-05
Pd_26,group1,N_America,Canada,New Brunswick,2012,pop07,9.99500116449781e-05
Pd_27,group1,N_America,Canada,Prince Edward Island,2012,pop01,0.999400198459625
Pd_27,group1,N_America,Canada,Prince Edward Island,2012,pop02,9.99500116449781e-05
Pd_27,group1,N_America,Canada,Prince Edward Island,2012,pop03,9.99500116449781e-05
Pd_27,group1,N_America,Canada,Prince Edward Island,2012,pop04,9.99500116449781e-05
Pd_27,group1,N_America,Canada,Prince Edward Island,2012,pop05,9.99500116449781e-05
Pd_27,group1,N_America,Canada,Prince Edward Island,2012,pop06,9.99500116449781e-05
Pd_27,group1,N_America,Canada,Prince Edward Island,2012,pop07,9.99500116449781e-05
Pd_28,group1,N_America,USA,New York,2008,pop01,0.999400198459625
Pd_28,group1,N_America,USA,New York,2008,pop02,9.99500116449781e-05
Pd_28,group1,N_America,USA,New York,2008,pop03,9.99500116449781e-05
Pd_28,group1,N_America,USA,New York,2008,pop04,9.99500116449781e-05
Pd_28,group1,N_America,USA,New York,2008,pop05,9.99500116449781e-05
Pd_28,group1,N_America,USA,New York,2008,pop06,9.99500116449781e-05
Pd_28,group1,N_America,USA,New York,2008,pop07,9.99500116449781e-05
Pd_29,P. species,N_America,USA,Minnesota,2008,pop01,9.74137146840803e-05
Pd_29,P. species,N_America,USA,Minnesota,2008,pop02,0.0178531892597675
Pd_29,P. species,N_America,USA,Minnesota,2008,pop03,0.0108605595305562
Pd_29,P. species,N_America,USA,Minnesota,2008,pop04,0.00301932520233095
Pd_29,P. species,N_America,USA,Minnesota,2008,pop05,9.74137146840803e-05
Pd_29,P. species,N_America,USA,Minnesota,2008,pop06,0.269461959600449
Pd_29,P. species,N_America,USA,Minnesota,2008,pop07,0.698610126972198
Pd_30,P. species,N_America,USA,Wisconsin,1960,pop01,9.9994802440051e-05
Pd_30,P. species,N_America,USA,Wisconsin,1960,pop02,0.000470944534754381
Pd_30,P. species,N_America,USA,Wisconsin,1960,pop03,9.9994802440051e-05
Pd_30,P. species,N_America,USA,Wisconsin,1960,pop04,0.998580515384674
Pd_30,P. species,N_America,USA,Wisconsin,1960,pop05,0.000548575015272945
Pd_30,P. species,N_America,USA,Wisconsin,1960,pop06,9.9994802440051e-05
Pd_30,P. species,N_America,USA,Wisconsin,1960,pop07,9.9994802440051e-05
Pd_31,P. species,N_America,Canada,Alberta,2002,pop01,0.0502197965979576
Pd_31,P. species,N_America,Canada,Alberta,2002,pop02,9.69104876276106e-05
Pd_31,P. species,N_America,Canada,Alberta,2002,pop03,9.69104876276106e-05
Pd_31,P. species,N_America,Canada,Alberta,2002,pop04,9.69104876276106e-05
