ind,continent,country,state,year,Pop,admix
Pd_50,N_America,USA,New Jersey,2009,pop05,9.82086494332179e-05
Pd_50,N_America,USA,New Jersey,2009,pop06,9.82086494332179e-05
Pd_50,N_America,USA,New Jersey,2009,pop07,9.82086494332179e-05
Pd_51,N_America,USA,West Virginia,2009,pop01,0.0330514721572399
Pd_51,N_America,USA,West Virginia,2009,pop02,0.148384869098663
Pd_51,N_America,USA,West Virginia,2009,pop03,0.735782206058502
Pd_51,N_America,USA,West Virginia,2009,pop04,0.0184396095573902
Pd_51,N_America,USA,West Virginia,2009,pop05,0.0317528806626797
Pd_51,N_America,USA,West Virginia,2009,pop06,0.0323410369455814
Pd_51,N_America,USA,West Virginia,2009,pop07,0.000247974589001387
Pd_52,N_America,Canada,Ontario,2010,pop01,0.487379223108292
Pd_52,N_America,Canada,Ontario,2010,pop02,0.0616255328059196
Pd_52,N_America,Canada,Ontario,2010,pop03,0.440033972263336
Pd_52,N_America,Canada,Ontario,2010,pop04,0.0106479562819004
Pd_52,N_America,Canada,Ontario,2010,pop05,0.000116124101623427
Pd_52,N_America,Canada,Ontario,2010,pop06,9.86451559583656e-05
Pd_52,N_America,Canada,Ontario,2010,pop07,9.86451559583656e-05
Pd_53,N_America,USA,Tennessee,2010,pop01,0.344729900360107
Pd_53,N_America,USA,Tennessee,2010,pop02,0.300797045230865
Pd_53,N_America,USA,Tennessee,2010,pop03,0.33977735042572
Pd_53,N_America,USA,Tennessee,2010,pop04,0.0144016249105334
Pd_53,N_America,USA,Tennessee,2010,pop05,9.80090990196913e-05
Pd_53,N_America,USA,Tennessee,2010,pop06,9.80090990196913e-05
Pd_53,N_America,USA,Tennessee,2010,pop07,9.80090990196913e-05
Pd_54,N_America,USA,Vermont,2008,pop01,0.396153330802917
Pd_54,N_America,USA,Vermont,2008,pop02,0.603335022926331
Pd_54,N_America,USA,Vermont,2008,pop03,0.000100454242783599
Pd_54,N_America,USA,Vermont,2008,pop04,0.000100454242783599
Pd_54,N_America,USA,Vermont,2008,pop05,0.000100454242783599
Pd_54,N_America,USA,Vermont,2008,pop06,0.000103914055216592
Pd_54,N_America,USA,Vermont,2008,pop07,0.000106256273284089
Pd_55,N_America,USA,Connecticut,2009,pop01,0.585720956325531
Pd_55,N_America,USA,Connecticut,2009,pop02,0.204340040683746
Pd_55,N_America,USA,Connecticut,2009,pop03,0.199195936322212
Pd_55,N_America,USA,Connecticut,2009,pop04,0.0104478495195508
