ind,continent,Pop,admix
Pd_62,N_America,pop5,0.000127891660667956
Pd_62,N_America,pop6,0.000127891660667956
Pd_63,N_America,pop1,0.000127964303828776
Pd_63,N_America,pop2,0.000127964303828776
Pd_63,N_America,pop3,0.00562372710555792
Pd_63,N_America,pop4,0.993864417076111
Pd_63,N_America,pop5,0.000127964303828776
Pd_63,N_America,pop6,0.000127964303828776
Pd_64,N_America,pop1,0.000128261133795604
Pd_64,N_America,pop2,0.000128261133795604
Pd_64,N_America,pop3,0.00386299472302198
Pd_64,N_America,pop4,0.99562394618988
Pd_64,N_America,pop5,0.000128261133795604
Pd_64,N_America,pop6,0.000128261133795604
Pd_65,N_America,pop1,0.000127927181893028
Pd_65,N_America,pop2,0.000127927181893028
Pd_65,N_America,pop3,0.00477974349632859
Pd_65,N_America,pop4,0.99470853805542
Pd_65,N_America,pop5,0.000127927181893028
Pd_65,N_America,pop6,0.000127927181893028
Pd_66,N_America,pop1,0.000127950479509309
Pd_66,N_America,pop2,0.000127950479509309
Pd_66,N_America,pop3,0.00476829661056399
Pd_66,N_America,pop4,0.994719803333282
Pd_66,N_America,pop5,0.000127950479509309
Pd_66,N_America,pop6,0.000127950479509309
Pd_67,N_America,pop1,0.000128134648548439
Pd_67,N_America,pop2,0.000128134648548439
Pd_67,N_America,pop3,0.00476820627227426
Pd_67,N_America,pop4,0.994719207286835
Pd_67,N_America,pop5,0.000128134648548439
Pd_67,N_America,pop6,0.000128134648548439
Pd_68,N_America,pop1,0.000129036619910039
Pd_68,N_America,pop2,0.000129036619910039
Pd_68,N_America,pop3,0.0013055665185675
Pd_68,N_America,pop4,0.998178243637085
Pd_68,N_America,pop5,0.000129036619910039
Pd_68,N_America,pop6,0.000129036619910039
Pd_70,Asia,pop1,9.73166534095071e-05
Pd_70,Asia,pop2,0.0241591259837151
Pd_70,Asia,pop3,0.973069190979004
Pd_70,Asia,pop4,9.73166534095071e-05
Pd_70,Asia,pop5,0.00247976393438876
Pd_70,Asia,pop6,9.73166534095071e-05
Pd_71,Asia,pop1,9.83872887445614e-05
Pd_71,Asia,pop2,0.0229748710989952
Pd_71,Asia,pop3,0.972974717617035
Pd_71,Asia,pop4,9.83872887445614e-05
Pd_71,Asia,pop5,0.003755206707865
Pd_71,Asia,pop6,9.83872887445614e-05
Pd_72,N_America,pop1,0.00012896946282126
Pd_72,N_America,pop2,0.00012896946282126
Pd_72,N_America,pop3,0.00149591802619398
Pd_72,N_America,pop4,0.997988164424896
